League,Year,blueTeamTag,bResult,rResult,redTeamTag
NALCS,2015,TSM,1,0,C9
NALCS,2015,CST,0,1,DIG
NALCS,2015,WFX,1,0,GV
NALCS,2015,TIP,0,1,TL
NALCS,2015,CLG,1,0,T8
NALCS,2015,DIG,0,1,TIP
NALCS,2015,CST,1,0,WFX
NALCS,2015,TL,1,0,CLG
NALCS,2015,C9,0,1,GV
NALCS,2015,T8,1,0,TSM
NALCS,2015,GV,1,0,DIG
NALCS,2015,T8,1,0,CST
NALCS,2015,C9,1,0,TL
NALCS,2015,TIP,0,1,CLG
NALCS,2015,TSM,1,0,WFX
NALCS,2015,CLG,1,0,C9
NALCS,2015,DIG,0,1,WFX
NALCS,2015,TSM,1,0,TL
NALCS,2015,TIP,1,0,T8
NALCS,2015,CST,0,1,GV
NALCS,2015,GV,0,1,TIP
NALCS,2015,C9,1,0,T8
NALCS,2015,DIG,0,1,TSM
NALCS,2015,TL,1,0,CST
NALCS,2015,WFX,0,1,CLG
NALCS,2015,C9,1,0,CST
NALCS,2015,CLG,1,0,GV
NALCS,2015,TL,0,1,DIG
NALCS,2015,T8,1,0,WFX
NALCS,2015,TSM,1,0,TIP
NALCS,2015,CST,0,1,CLG
NALCS,2015,WFX,1,0,TIP
NALCS,2015,DIG,0,1,C9
NALCS,2015,T8,0,1,TL
NALCS,2015,GV,0,1,TSM
NALCS,2015,WFX,1,0,C9
NALCS,2015,TIP,1,0,CST
NALCS,2015,CLG,0,1,TSM
NALCS,2015,GV,1,0,TL
NALCS,2015,DIG,1,0,T8
NALCS,2015,TL,0,1,WFX
NALCS,2015,T8,0,1,GV
NALCS,2015,C9,1,0,TIP
NALCS,2015,DIG,0,1,CLG
NALCS,2015,TSM,1,0,CST
NALCS,2015,C9,1,0,CLG
NALCS,2015,TL,1,0,TSM
NALCS,2015,WFX,0,1,DIG
NALCS,2015,CST,0,1,T8
NALCS,2015,TIP,1,0,GV
NALCS,2015,CST,0,1,C9
NALCS,2015,T8,1,0,TIP
NALCS,2015,TL,1,0,GV
NALCS,2015,TSM,1,0,DIG
NALCS,2015,CLG,1,0,WFX
NALCS,2015,GV,1,0,CST
NALCS,2015,C9,1,0,WFX
NALCS,2015,TIP,1,0,TSM
NALCS,2015,CLG,0,1,TL
NALCS,2015,T8,1,0,DIG
NALCS,2015,DIG,1,0,CST
NALCS,2015,GV,0,1,CLG
NALCS,2015,WFX,0,1,TSM
NALCS,2015,TIP,1,0,C9
NALCS,2015,TL,0,1,T8
NALCS,2015,C9,1,0,DIG
NALCS,2015,TSM,1,0,T8
NALCS,2015,TL,0,1,TIP
NALCS,2015,GV,1,0,WFX
NALCS,2015,CLG,1,0,CST
NALCS,2015,CST,0,1,TIP
NALCS,2015,TL,0,1,C9
NALCS,2015,TSM,0,1,GV
NALCS,2015,CLG,1,0,DIG
NALCS,2015,WFX,0,1,T8
NALCS,2015,DIG,0,1,GV
NALCS,2015,TSM,1,0,CLG
NALCS,2015,T8,1,0,C9
NALCS,2015,TIP,1,0,WFX
NALCS,2015,CST,0,1,TL
NALCS,2015,GV,0,1,C9
NALCS,2015,T8,0,1,CLG
NALCS,2015,WFX,1,0,TL
NALCS,2015,CST,0,1,TSM
NALCS,2015,TIP,0,1,DIG
NALCS,2015,WFX,1,0,CST
NALCS,2015,C9,1,0,TSM
NALCS,2015,DIG,0,1,TL
NALCS,2015,GV,1,0,T8
NALCS,2015,CLG,0,1,TIP
NALCS,2015,T8,0,1,TL
NALCS,2015,C9,1,0,CLG
NALCS,2015,C9,1,0,TSM
NALCS,2015,TDK,0,1,TL
NALCS,2015,CLG,1,0,DIG
NALCS,2015,T8,0,1,TIP
NALCS,2015,GV,0,1,NME
NALCS,2015,TL,1,0,T8
NALCS,2015,DIG,1,0,C9
NALCS,2015,TIP,0,1,CLG
NALCS,2015,TSM,1,0,NME
NALCS,2015,TDK,0,1,GV
NALCS,2015,NME,0,1,TL
NALCS,2015,C9,0,1,GV
NALCS,2015,TSM,1,0,TIP
NALCS,2015,T8,0,1,CLG
NALCS,2015,DIG,1,0,TDK
NALCS,2015,C9,0,1,TIP
NALCS,2015,TL,0,1,GV
NALCS,2015,CLG,0,1,TSM
NALCS,2015,TDK,0,1,NME
NALCS,2015,T8,0,1,DIG
NALCS,2015,NME,0,1,T8
NALCS,2015,TSM,0,1,DIG
NALCS,2015,TL,1,0,C9
NALCS,2015,TIP,1,0,TDK
NALCS,2015,GV,0,1,CLG
NALCS,2015,C9,1,0,T8
NALCS,2015,TSM,1,0,TDK
NALCS,2015,TIP,0,1,TL
NALCS,2015,DIG,0,1,GV
NALCS,2015,CLG,1,0,NME
NALCS,2015,DIG,1,0,TIP
NALCS,2015,TDK,0,1,CLG
NALCS,2015,TL,0,1,TSM
NALCS,2015,GV,1,0,T8
NALCS,2015,NME,1,0,C9
NALCS,2015,T8,1,0,TDK
NALCS,2015,GV,0,1,TSM
NALCS,2015,CLG,1,0,C9
NALCS,2015,NME,0,1,TIP
NALCS,2015,TL,0,1,DIG
NALCS,2015,TIP,0,1,GV
NALCS,2015,TL,1,0,CLG
NALCS,2015,TSM,1,0,T8
NALCS,2015,C9,1,0,TDK
NALCS,2015,DIG,1,0,NME
NALCS,2015,GV,1,0,TL
NALCS,2015,TIP,1,0,C9
NALCS,2015,TSM,1,0,CLG
NALCS,2015,TDK,1,0,DIG
NALCS,2015,T8,1,0,NME
NALCS,2015,TIP,1,0,NME
NALCS,2015,TDK,0,1,TSM
NALCS,2015,C9,0,1,TL
NALCS,2015,CLG,0,1,GV
NALCS,2015,DIG,1,0,T8
NALCS,2015,NME,1,0,TDK
NALCS,2015,CLG,0,1,TIP
NALCS,2015,TSM,0,1,GV
NALCS,2015,DIG,0,1,TL
NALCS,2015,T8,1,0,C9
NALCS,2015,TL,1,0,TDK
NALCS,2015,NME,0,1,CLG
NALCS,2015,GV,1,0,C9
NALCS,2015,T8,1,0,TSM
NALCS,2015,TIP,1,0,DIG
NALCS,2015,NME,0,1,GV
NALCS,2015,C9,1,0,DIG
NALCS,2015,TSM,0,1,TL
NALCS,2015,TIP,1,0,T8
NALCS,2015,CLG,1,0,TDK
NALCS,2015,C9,1,0,NME
NALCS,2015,TIP,1,0,TSM
NALCS,2015,CLG,1,0,TL
NALCS,2015,GV,0,1,DIG
NALCS,2015,TDK,0,1,T8
NALCS,2015,TL,1,0,NME
NALCS,2015,C9,0,1,CLG
NALCS,2015,DIG,0,1,TSM
NALCS,2015,TDK,0,1,TIP
NALCS,2015,T8,0,1,GV
NALCS,2015,T8,0,1,TL
NALCS,2015,DIG,0,1,CLG
NALCS,2015,GV,0,1,TIP
NALCS,2015,NME,0,1,TSM
NALCS,2015,TDK,1,0,C9
NALCS,2015,NME,0,1,DIG
NALCS,2015,CLG,1,0,T8
NALCS,2015,TSM,0,1,C9
NALCS,2015,GV,0,1,TDK
NALCS,2015,TL,1,0,TIP
NALCS,2015,T8,0,1,C9
NALCS,2015,TIP,1,0,GV
NALCS,2015,TL,1,0,CLG
NALCS,2015,CLG,0,1,TL
NALCS,2015,TL,1,0,CLG
NALCS,2015,CLG,0,1,TL
NALCS,2015,TIP,1,0,GV
NALCS,2015,GV,1,0,TIP
NALCS,2015,GV,0,1,TIP
NALCS,2015,GV,0,1,TIP
NALCS,2015,C9,0,1,TL
NALCS,2015,TL,1,0,C9
NALCS,2015,C9,1,0,TL
NALCS,2015,TL,0,1,C9
NALCS,2015,C9,1,0,TL
NALCS,2015,TSM,0,1,TIP
NALCS,2015,TIP,0,1,TSM
NALCS,2015,TIP,0,1,TSM
NALCS,2015,TIP,0,1,TSM
NALCS,2015,TIP,1,0,TL
NALCS,2015,TL,1,0,TIP
NALCS,2015,TL,0,1,TIP
NALCS,2015,TL,1,0,TIP
NALCS,2015,TIP,0,1,TL
NALCS,2015,TSM,0,1,C9
NALCS,2015,C9,0,1,TSM
NALCS,2015,TSM,1,0,C9
NALCS,2015,C9,0,1,TSM
NALCS,2015,TIP,1,0,DIG
NALCS,2015,DIG,0,1,TIP
NALCS,2015,TIP,1,0,DIG
NALCS,2015,GV,0,1,TSM
NALCS,2015,GV,1,0,TSM
NALCS,2015,TSM,1,0,GV
NALCS,2015,GV,0,1,TSM
NALCS,2015,CLG,1,0,TIP
NALCS,2015,TIP,0,1,CLG
NALCS,2015,CLG,1,0,TIP
NALCS,2015,TL,0,1,TSM
NALCS,2015,TSM,1,0,TL
NALCS,2015,TL,1,0,TSM
NALCS,2015,TSM,1,0,TL
NALCS,2015,TL,1,0,TIP
NALCS,2015,TIP,1,0,TL
NALCS,2015,TL,1,0,TIP
NALCS,2015,TIP,0,1,TL
NALCS,2015,CLG,1,0,TSM
NALCS,2015,TSM,0,1,CLG
NALCS,2015,CLG,1,0,TSM
NALCS,2015,C9,0,1,GV
NALCS,2015,C9,0,1,GV
NALCS,2015,C9,1,0,GV
NALCS,2015,C9,1,0,GV
NALCS,2015,C9,1,0,GV
NALCS,2015,TIP,1,0,C9
NALCS,2015,C9,0,1,TIP
NALCS,2015,TIP,0,1,C9
NALCS,2015,C9,1,0,TIP
NALCS,2015,TIP,0,1,C9
NALCS,2015,TL,0,1,C9
NALCS,2015,C9,0,1,TL
NALCS,2015,TL,0,1,C9
NALCS,2015,C9,1,0,TL
NALCS,2016,TSM,0,1,CLG
NALCS,2016,C9,0,1,IMT
NALCS,2016,DIG,0,1,NRG
NALCS,2016,REN,1,0,TL
NALCS,2016,FOX,1,0,TIP
NALCS,2016,REN,0,1,NRG
NALCS,2016,DIG,1,0,CLG
NALCS,2016,TSM,1,0,TL
NALCS,2016,FOX,0,1,C9
NALCS,2016,IMT,1,0,TIP
NALCS,2016,TIP,1,0,C9
NALCS,2016,TSM,0,1,IMT
NALCS,2016,TL,0,1,CLG
NALCS,2016,DIG,1,0,REN
NALCS,2016,TSM,1,0,DIG
NALCS,2016,NRG,0,1,IMT
NALCS,2016,CLG,0,1,C9
NALCS,2016,FOX,0,1,TL
NALCS,2016,REN,0,1,TIP
NALCS,2016,TIP,1,0,DIG
NALCS,2016,C9,0,1,TSM
NALCS,2016,TL,1,0,NRG
NALCS,2016,CLG,1,0,FOX
NALCS,2016,IMT,1,0,REN
NALCS,2016,TL,1,0,TIP
NALCS,2016,NRG,1,0,TSM
NALCS,2016,DIG,0,1,C9
NALCS,2016,FOX,0,1,IMT
NALCS,2016,CLG,1,0,REN
NALCS,2016,TL,1,0,DIG
NALCS,2016,C9,1,0,REN
NALCS,2016,CLG,0,1,IMT
NALCS,2016,TSM,1,0,FOX
NALCS,2016,NRG,1,0,TIP
NALCS,2016,IMT,1,0,TL
NALCS,2016,C9,1,0,NRG
NALCS,2016,REN,0,1,TSM
NALCS,2016,TIP,0,1,CLG
NALCS,2016,DIG,1,0,FOX
NALCS,2016,FOX,1,0,REN
NALCS,2016,NRG,0,1,CLG
NALCS,2016,C9,1,0,TL
NALCS,2016,TIP,0,1,TSM
NALCS,2016,IMT,1,0,DIG
NALCS,2016,FOX,1,0,NRG
NALCS,2016,CLG,0,1,TSM
NALCS,2016,IMT,1,0,C9
NALCS,2016,TL,1,0,REN
NALCS,2016,DIG,0,1,TIP
NALCS,2016,NRG,1,0,DIG
NALCS,2016,REN,0,1,IMT
NALCS,2016,TSM,0,1,C9
NALCS,2016,CLG,1,0,TIP
NALCS,2016,TL,0,1,FOX
NALCS,2016,REN,0,1,CLG
NALCS,2016,DIG,1,0,TSM
NALCS,2016,NRG,0,1,C9
NALCS,2016,TIP,0,1,FOX
NALCS,2016,TL,0,1,IMT
NALCS,2016,TIP,0,1,TL
NALCS,2016,FOX,0,1,TSM
NALCS,2016,IMT,0,1,CLG
NALCS,2016,NRG,1,0,REN
NALCS,2016,C9,1,0,DIG
NALCS,2016,TIP,1,0,NRG
NALCS,2016,C9,0,1,CLG
NALCS,2016,TL,1,0,TSM
NALCS,2016,REN,1,0,DIG
NALCS,2016,IMT,1,0,FOX
NALCS,2016,REN,0,1,C9
NALCS,2016,IMT,1,0,NRG
NALCS,2016,CLG,0,1,TL
NALCS,2016,TSM,1,0,TIP
NALCS,2016,FOX,1,0,DIG
NALCS,2016,C9,1,0,TIP
NALCS,2016,NRG,1,0,TL
NALCS,2016,TSM,0,1,REN
NALCS,2016,DIG,0,1,IMT
NALCS,2016,FOX,0,1,CLG
NALCS,2016,TIP,0,1,REN
NALCS,2016,CLG,1,0,NRG
NALCS,2016,IMT,1,0,TSM
NALCS,2016,DIG,0,1,TL
NALCS,2016,C9,1,0,FOX
NALCS,2016,REN,1,0,FOX
NALCS,2016,TL,1,0,C9
NALCS,2016,TIP,0,1,IMT
NALCS,2016,CLG,1,0,DIG
NALCS,2016,TSM,0,1,NRG
NALCS,2016,TIP,0,1,REN
NALCS,2016,TSM,1,0,CLG
NALCS,2016,CLG,0,1,TSM
NALCS,2016,NV,1,0,NRG
NALCS,2016,NRG,1,0,NV
NALCS,2016,NV,1,0,NRG
NALCS,2016,C9,0,1,IMT
NALCS,2016,IMT,0,1,C9
NALCS,2016,C9,0,1,IMT
NALCS,2016,NV,1,0,TL
NALCS,2016,TL,0,1,NV
NALCS,2016,APX,1,0,CLG
NALCS,2016,CLG,1,0,APX
NALCS,2016,APX,1,0,CLG
NALCS,2016,FOX,1,0,C9
NALCS,2016,C9,1,0,FOX
NALCS,2016,FOX,0,1,C9
NALCS,2016,FOX,1,0,P1
NALCS,2016,P1,0,1,FOX
NALCS,2016,APX,1,0,NRG
NALCS,2016,NRG,0,1,APX
NALCS,2016,TSM,1,0,TL
NALCS,2016,TL,0,1,TSM
NALCS,2016,IMT,1,0,P1
NALCS,2016,P1,0,1,IMT
NALCS,2016,NRG,1,0,IMT
NALCS,2016,IMT,1,0,NRG
NALCS,2016,NRG,0,1,IMT
NALCS,2016,APX,0,1,NV
NALCS,2016,NV,0,1,APX
NALCS,2016,APX,0,1,NV
NALCS,2016,TL,1,0,CLG
NALCS,2016,CLG,1,0,TL
NALCS,2016,TL,0,1,CLG
NALCS,2016,P1,0,1,C9
NALCS,2016,C9,0,1,P1
NALCS,2016,P1,0,1,C9
NALCS,2016,TSM,1,0,IMT
NALCS,2016,IMT,1,0,TSM
NALCS,2016,TSM,1,0,IMT
NALCS,2016,FOX,0,1,TL
NALCS,2016,TL,1,0,FOX
NALCS,2016,NRG,1,0,FOX
NALCS,2016,FOX,0,1,NRG
NALCS,2016,TSM,1,0,APX
NALCS,2016,APX,0,1,TSM
NALCS,2016,NV,1,0,P1
NALCS,2016,P1,0,1,NV
NALCS,2016,CLG,0,1,C9
NALCS,2016,C9,1,0,CLG
NALCS,2016,C9,0,1,TSM
NALCS,2016,TSM,0,1,C9
NALCS,2016,C9,0,1,TSM
NALCS,2016,TL,1,0,P1
NALCS,2016,P1,0,1,TL
NALCS,2016,IMT,1,0,NV
NALCS,2016,NV,0,1,IMT
NALCS,2016,TL,1,0,NRG
NALCS,2016,NRG,1,0,TL
NALCS,2016,TL,1,0,NRG
NALCS,2016,NRG,0,1,TSM
NALCS,2016,TSM,1,0,NRG
NALCS,2016,FOX,0,1,IMT
NALCS,2016,IMT,1,0,FOX
NALCS,2016,CLG,1,0,FOX
NALCS,2016,FOX,0,1,CLG
NALCS,2016,P1,0,1,APX
NALCS,2016,APX,0,1,P1
NALCS,2016,P1,0,1,APX
NALCS,2016,APX,0,1,C9
NALCS,2016,C9,0,1,APX
NALCS,2016,APX,0,1,C9
NALCS,2016,CLG,1,0,NV
NALCS,2016,NV,1,0,CLG
NALCS,2016,CLG,0,1,NV
NALCS,2016,CLG,1,0,IMT
NALCS,2016,IMT,1,0,CLG
NALCS,2016,CLG,0,1,IMT
NALCS,2016,APX,0,1,TL
NALCS,2016,C9,1,0,NV
NALCS,2016,NV,0,1,C9
NALCS,2016,IMT,1,0,TL
NALCS,2016,TL,0,1,IMT
NALCS,2016,C9,1,0,NRG
NALCS,2016,NRG,0,1,C9
NALCS,2016,P1,0,1,CLG
NALCS,2016,CLG,1,0,P1
NALCS,2016,TSM,0,1,FOX
NALCS,2016,FOX,0,1,TSM
NALCS,2016,TSM,1,0,FOX
NALCS,2016,NRG,1,0,P1
NALCS,2016,P1,1,0,NRG
NALCS,2016,NRG,1,0,P1
NALCS,2016,NV,0,1,TSM
NALCS,2016,TSM,1,0,NV
NALCS,2016,APX,1,0,FOX
NALCS,2016,FOX,0,1,APX
NALCS,2016,C9,1,0,TL
NALCS,2016,TL,1,0,C9
NALCS,2016,C9,0,1,TL
NALCS,2016,FOX,1,0,NV