Team;Victim;Killer;Assist_1;Assist_2;Assist_3
bKills;C9 Sneaky;CLG ZionSpartan;CLG Xmithie;CLG Link;CLG Aphromoo
bKills;C9 Hai;CLG Link;CLG ZionSpartan;CLG Aphromoo;
bKills;C9 LemonNation;CLG Doublelift;;;
bKills;WFX Pobelter;DIG Gamsu;DIG Crumbzz;DIG Shiphtur;DIG CoreJJ
bKills;WFX Altec;DIG CoreJJ;DIG Gamsu;DIG Crumbzz;DIG Shiphtur
bKills;TL FeniX;TSM WildTurtle;TSM Santorin;TSM Lustboy;
bKills;TL Xpecial;TSM Lustboy;TSM Santorin;TSM Bjergsen;
bKills;TL FeniX;TSM WildTurtle;TSM Santorin;TSM Bjergsen;TSM Lustboy
bKills;TL IWDominate;TSM WildTurtle;TSM Dyrus;TSM Santorin;TSM Bjergsen
bKills;TL Xpecial;TSM Bjergsen;TSM Santorin;TSM WildTurtle;TSM Lustboy
bKills;TL FeniX;TSM Dyrus;TSM Santorin;TSM Bjergsen;TSM WildTurtle
bKills;TL FeniX;TSM Dyrus;TSM Santorin;TSM Bjergsen;TSM WildTurtle
bKills;TL IWDominate;TSM WildTurtle;TSM Dyrus;TSM Santorin;TSM Bjergsen
bKills;TL Quas;TSM Dyrus;TSM Santorin;TSM Bjergsen;TSM WildTurtle
bKills;TL Xpecial;TSM Bjergsen;TSM Dyrus;TSM Santorin;TSM WildTurtle
bKills;TL Piglet;TSM WildTurtle;TSM Santorin;TSM Bjergsen;TSM Lustboy
bKills;TL IWDominate;TSM WildTurtle;TSM Dyrus;TSM Santorin;TSM Bjergsen
Team;Victim;Killer;Assist_1;Assist_2;Assist_3
bKills;C9 Hai;TSM Bjergsen;;;
bKills;C9 LemonNation;TSM WildTurtle;TSM Santorin;TSM Bjergsen;TSM Lustboy
bKills;C9 Hai;TSM Bjergsen;TSM Santorin;TSM WildTurtle;TSM Lustboy
bKills;C9 Meteos;TSM Dyrus;TSM Santorin;TSM Bjergsen;TSM WildTurtle
bKills;C9 Balls;TSM Bjergsen;TSM Dyrus;TSM Santorin;TSM WildTurtle
bKills;C9 LemonNation;TSM Dyrus;TSM Bjergsen;TSM WildTurtle;TSM Lustboy
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
rKills;TSM Lustboy;C9 Balls;C9 Meteos;C9 Hai;C9 Sneaky
